wkt_geom,Address,City,province,Country,result_num,osm_id,display_na,category,type,latlong
Point (-79.38889240000000314 43.64828020000000208),244 ADELAIDE ST W,Toronto,ON,Canada,0,768964737,"Bar 244, 244, Adelaide Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H, Canada",amenity,pub,"43.6482802,-79.3888924"
Point (-79.37313637037037495 43.6562411851851877),244 GEORGE ST,Toronto,ON,Canada,0,401029695,"244, George Street, Moss Park, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2N7, Canada",place,house,"43.65624118518519,-79.37313637037037"
Point (-79.34092060000000401 43.66367209999999943),245 CARLAW AVE,Toronto,ON,Canada,0,2298543324,"The Flying Yogi, 245, Carlaw Avenue, Leslieville, Toronto—Danforth, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4M 2S1, Canada",leisure,fitness_centre,"43.6636721,-79.3409206"
Point (-79.37712820222350274 43.65738960000000191),245 CHURCH ST,Toronto,ON,Canada,0,23447525,"George Vari Engineering and Computing Centre, 245, Church Street, Garden District, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 1J6, Canada",building,university,"43.6573896,-79.3771282022235"
Point (-79.39940699999999651 43.71056200000000302),2440 YONGE ST,Toronto,ON,Canada,0,1355683065,"Beddington's Bed & Bath, 2440, Yonge Street, Yonge & Eglinton, Don Valley West, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 2H6, Canada",shop,interior_decoration,"43.710562,-79.399407"
Point (-79.55166843006517752 43.74952799999999797),2441 FINCH AVE W,Toronto,ON,Canada,0,32728847,"Benville Court Apartments, 2441, Finch Avenue West, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 2A8, Canada",building,apartments,"43.749528,-79.55166843006518"
Point (-79.48349749999999858 43.6493417000000008),2425 BLOOR ST W,Toronto,ON,Canada,0,1290813251,"Pizzaiolo, 2425, Bloor Street West, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada",amenity,fast_food,"43.6493417,-79.4834975"
Point (-79.54826333095738278 43.75067520026708223),2425 FINCH AVE W,Toronto,ON,Canada,0,93809182,"2425, Finch Avenue West, Emery, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 2C7, Canada",place,house,"43.75067520026708,-79.54826333095738"
Point (-79.59251659090909925 43.732906100000001),242 JOHN GARLAND BLVD,Toronto,ON,Canada,0,72385548,"242, John Garland Boulevard, West Humber-Clairville, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 1N7, Canada",place,house,"43.7329061,-79.5925165909091"
Point (-79.39069209999999543 43.65008149999999887),242 QUEEN ST W,Toronto,ON,Canada,0,6401675750,"Wine Rack, 242, Queen Street West, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 2A4, Canada",shop,wine,"43.6500815,-79.3906921"
Point (-79.54991759841325916 43.74965964999999812),2437 FINCH AVE W,Toronto,ON,Canada,0,62359847,"2437, Finch Avenue West, Emery, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 2A8, Canada",building,retail,"43.74965965,-79.54991759841326"
Point (-79.51032135195023898 43.73139479999999679),2425 JANE ST,Toronto,ON,Canada,0,32224549,"Rafaello Place, 2425, Jane Street, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M3L 1L4, Canada",building,apartments,"43.7313948,-79.51032135195024"
Point (-79.54819455959975016 43.74950605000000081),2431 FINCH AVE W,Toronto,ON,Canada,0,32728851,"Finch Main Gardens, 2431, Finch Avenue West, Emery, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9M 2A8, Canada",building,apartments,"43.74950605,-79.54819455959975"
Point (-79.4106953347260287 43.64136944999999912),18 STAFFORD ST,Toronto,ON,Canada,0,58335955,"18, Stafford Street, Niagara, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 3H5, Canada",building,yes,"43.64136945,-79.41069533472603"
Point (-79.37807200000000307 43.64775600000000111),18 WELLINGTON ST W,Toronto,ON,Canada,0,4035519924,"18, Wellington Street West, Commerce Court, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5L 1A0, Canada",place,house,"43.647756,-79.378072"
Point (-79.39108680526315709 43.67808408947368548),18 ROXBOROUGH ST W,Toronto,ON,Canada,0,66227869,"18, Roxborough Street West, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 2K9, Canada",place,house,"43.678084089473685,-79.39108680526316"
Point (-79.41053107649213416 43.7649526499999979),18 SPRING GARDEN AVE,Toronto,ON,Canada,0,170051859,"18, Spring Garden Avenue, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 0A8, Canada",building,apartments,"43.76495265,-79.41053107649213"
Point (-79.41692209999999363 43.77515149999999977),180 BEECROFT RD,Toronto,ON,Canada,0,52082188,"Beecroft Road, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 2A8, Canada",highway,tertiary,"43.7751515,-79.4169221"
Point (-79.39496658328221201 43.6688417999999956),180 BLOOR ST W,Toronto,ON,Canada,0,41950525,"180 Bloor Street West, 180, Bloor Street West, Bloor Street Culture Corridor, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5C 1S8, Canada",building,office,"43.668841799999996,-79.39496658328221"
Point (-79.3762473999999969 43.64429040000000271),18 YONGE ST,Toronto,ON,Canada,0,3702009659,"WellOne Medical Centre, 18, Yonge Street, South Core, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E, Canada",amenity,doctors,"43.6442904,-79.3762474"
Point (-79.38788825238952995 43.67208105000000273),18 YORKVILLE AVE,Toronto,ON,Canada,0,33822839,"18 Yorkville, 18, Yorkville Avenue, Yorkville, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 1L1, Canada",building,apartments,"43.67208105,-79.38788825238953"
Point (-79.39205485025935616 43.6585407000000032),18 ORDE ST,Toronto,ON,Canada,0,224809771,"Orde Street Public School, 18, Orde Street, Discovery District, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 1N7, Canada",amenity,school,"43.6585407,-79.39205485025936"
Point (-79.41920952666666267 43.6446349799999993),18 OSSINGTON AVE,Toronto,ON,Canada,0,66234409,"18, Ossington Avenue, Ossington, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 2Z2, Canada",place,house,"43.64463498,-79.41920952666666"
Point (-79.47422579999999925 43.65247939999999716),18 MARGDON RD,Toronto,ON,Canada,0,817905201,"18, Margdon Road, High Park North, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6P, Canada",place,house,"43.6524794,-79.4742258"
Point (-79.2325329942223533 43.74630225229242342),18 NELSON ST,Toronto,ON,Canada,0,66416224,"18, Nelson Street, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1J 2V6, Canada",place,house,"43.74630225229242,-79.23253299422235"
Point (-79.41315773820576851 43.78168714999999622),18 PEMBERTON AVE,Toronto,ON,Canada,0,35023955,"18, Pemberton Avenue, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 4P9, Canada",building,apartments,"43.781687149999996,-79.41315773820577"
Point (-79.39931500000000142 43.64233099999999865),18 PORTLAND ST,Toronto,ON,Canada,0,4036638446,"18, Portland Street, King West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5V 1B8, Canada",place,house,"43.642331,-79.399315"
Point (-79.58192415098298511 43.74716295000000343),18 PANORAMA CRT,Toronto,ON,Canada,0,31754972,"18, Panorama Court, Beaumonde Heights, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9V 3A8, Canada",building,apartments,"43.74716295,-79.58192415098299"
Point (-79.41183150000000524 43.77139600000000286),18 PARKVIEW AVE,Toronto,ON,Canada,0,897925865,"18, Parkview Avenue, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2N 3Y2, Canada",place,house,"43.771396,-79.4118315"
Point (-79.42526220000000592 43.64182859999999664),180 SUDBURY ST,Toronto,ON,Canada,0,5473824421,"The Centre for Mindfulness Studies, 180, Sudbury Street, Little Portugal, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6J 0A8, Canada",amenity,social_facility,"43.6418286,-79.4252622"
Point (-79.3852945999999946 43.64643879999999854),180 WELLINGTON ST W,Toronto,ON,Canada,0,62202665,"RBC Wellington Square, 180, Wellington Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5J 1T1, Canada",building,office,"43.6464388,-79.3852946"
Point (-79.38820400000000177 43.65063510000000235),180 QUEEN ST W,Toronto,ON,Canada,0,557804034,"Planta, 180, Queen Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H, Canada",amenity,restaurant,"43.6506351,-79.388204"
Point (-79.39696100000000456 43.64950799999999731),180 SPADINA AVE,Toronto,ON,Canada,0,4036638451,"180, Spadina Avenue, Queen West, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2C5, Canada",place,house,"43.649508,-79.396961"
